ID,Fundnr,Anzahl,Bodenzeichen,Bodenform,DMmax,Dmproz,BZCHN_erkannt,BZCHN_Ansatz,i,a,Typ,Fragmenttyp,Standflaeche,Produktionsspuren,joint,moeglicher_joint,Formaehnlichkeit,Erhaltung
1,1230498,1,3,1,,,,,,,,,,,,,,
2,1230496,1,3,1,9,15,,,,,,,,,,,,
3,1230496,1,3,1,8,20,,,,,,,,,,,,
4,1230493,1,2,1,10,30,,,,,,,6,,,,,
5,1230493,1,3,1,9,30,,,5,5,,,,,,,,
6,1230493,3,3,10,,,,,,,,Mittelteil,,,,,,
7,1230493,2,1,10,,,,Kreis & Speiche,,,,Mittelteil,,,,,,
8,1230493,1,3,1,9,100,,,,,,,,,,,,
9,1230493,6,3,10,,,,,,,,,,,,,,
10,1230493,1,1,1,,,,Speiche,,,,,,,,,,
11,1230492,1,3,1,,,,,,,,,,,,,,
12,1230484,1,3,1,10,15,,,,,,,,,,,,
13,1230482,7,3,1,,,,,,,,,,,,,,
14,1230481,7,3,1,,,,,,,,,,,,,,
15,1230478,4,3,1,,,,,,,,,4,,,,,
16,1230478,5,3,1,,,,,,,,,,,,,,errodiert
17,1230478,1,3,1,7,50,,,,,,,,,,,,
18,1230478,1,3,1,8,30,,,,,,,,,,,,
19,1230478,1,3,1,8,100,,,,,,,,,,,,
20,1230476,9,3,1,,,,,,,,,,,,,,
21,1230475,1,3,1,8,50,,,,4,,,,,,,,
22,1230475,13,3,1,,,,,,,,,,,,,,
23,1230472,5,3,1,,,,,,,,,,,,,,
24,1230472,1,3,1,8,20,,,,,,,,,,,,
25,1230470,1,1,10,,,Kreuz mit Mittelpunkt,,,,,,,,,,,
26,1230470,1,3,4,,,,,,,,,,,,,,
27,1230469,,3,10,,,,,,,,Mittelteil,,,,,,
28,1230469,1,3,1,9,25,,,,,,,,,,,,
29,1230469,1,3,1,8,23,,,,,,,,,,,,
30,1230469,1,3,1,9,25,,,,,,,,,,,,
31,1230467,1,3,1,,,,,,,,Mittelteil,,,,,,
32,1230467,1,3,1,9,20,,,,,,,,,,,,
33,1230467,1,3,1,9,20,,,,,,,,,,,,
34,1230467,26,3,1,,,,,,,,,,,,,,
35,1230464,1,3,4,,,,,,,,,,,,68XV,,
36,1230464,1,3,1,"9,5",100,,,,,,,6,,,,,
37,1230464,1,3,1,9,45,,,,,,,6,,,,,
38,1230464,1,3,1,8,35,,,,,,,,,,,,
39,1230464,1,3,1,10,20,,,,,,,,,,,,
40,1230464,17,3,1,,,,,,,,,,,,,,
41,1230463,7,3,1,,,,,,,,,,,,,,
42,1230463,1,3,1,7,15,,,,,,,,,,,,
43,1230463,1,3,4,,,,,,,,,,,,,,
44,1230463,1,1,1,8,35,,Kreis,,,,,,,,,,
45,1230461,1,3,1,10,20,,,,,,,,Holzabdruck,,,,
46,1230461,1,3,1,9,25,,,,,,,,,,,,
47,1230461,1,3,1,10,30,,,,,,,,,,,,
48,1230461,14,3,1,,,,,,,,,,,,,,
49,1230461,1,3,10,9,35,,,,,,,,,,,,
50,1230461,1,1,10,"9,3",65,,,,,,,,,,,68IX,
51,1230460,1,3,3,8,25,,,,,,,,,,,,
52,1230460,1,3,3,8,30,,,,,,,,,,,,
53,1230460,4,3,3,,,,,,,,,,,,,,
54,1230457,7,3,10,,,,,,4,,,,,,,,
55,1230456,1,3,1,,,,,,,,,,,,,,
56,1230454,1,1,10,,,,,,,,Mittelteil,,,,,6sVIII,
57,1230454,4,3,1,,,,,,,,,,,,,,
58,1230452,1,3,1,8,30,,,,,,,,,,,,
59,1230451,4,3,1,,,,,,,,,,,,,,
60,1230451,1,3,1,6,20,,,,,,,,,,,,
61,1230451,1,3,1,8,25,,,,,,,,,,,,
62,1230451,2,3,1,,,,,,,,,,,,,,
63,1230451,1,3,4,8,25,,,,,,,,,,,,
64,1230450,2,3,10,,,,,,,,,,,,,,
65,1230447,1,3,1,,,,,,,,,,,,,,
66,1230446,7,3,1,,,,,,,,,,,,,,
67,1230445,1,3,1,7,20,,,,,,,,,,,,
68,1230445,7,3,1,,,,,,,,,,,,,,
69,1230445,1,3,3,8,15,,,,,,,,,,,,
70,1230444,5,3,1,,,,,,,,,,,,,,
71,1230443,1,3,1,9,20,,,,,,,,,,,,
72,1230443,2,3,1,,,,,,,,,,,,,,
73,1230442,1,3,1,11,18,,,,3,,,,,,,,
74,1230442,16,3,1,,,,,,,,,,,,,,
75,1230440,1,1,1,9,25,,kreisförmig,,,,,,,,,,
76,1230440,1,3,1,7,40,,,,,,,,,,,,
77,1230440,2,3,1,,,,,,,,,,,,,,
78,1230439,12,3,1,,,,,,,,,,,,,,
79,1230439,3,3,1,,,,,,,,,,,,,,
80,1230439,1,3,3,12,20,,,,,,,,,,,,
81,1230436,1,3,4,,,,,3,,Garz,,,,,,,
82,1230436,1,3,1,8,25,,,,,,,,,,,,
83,1230436,1,3,1,9,15,,,,,,,,,,,,
84,1230436,1,3,1,10,20,,,,,,,,,,,,
85,1230436,1,3,10,,,,,,,,,,,,,,
86,1230436,1,1,10,,,,,,,,,,,,,58XV,
87,1230435,1,1,1,8,15,,Speiche,,,,,,,,,,
88,1230435,1,3,1,10,35,,,,,,,,,,,,
89,1230435,1,3,1,9,50,,,,,,,,,,,,
90,1230435,1,3,1,9,25,,,,,,,,,,,,
91,1230435,1,3,1,9,30,,,,,,,,,,,,
92,1230435,1,3,1,8,25,,,,,,,,,,,,
93,1230435,24,3,1,,,,,,,,,,,,,,
94,1230435,1,3,4,,,,,,,,,,,,,,
95,1230434,20,3,10,,,,,,,,,,,,,,
96,1230433,1,3,3,8,15,,,,,,,,,56IV,,,
97,1230433,1,3,1,9,25,,,,,,,,,,,,
98,1230433,1,3,1,,,,,,,,,,,,,,
99,1230433,1,3,3,9,35,,,,,,,,,,,,
100,1230432,1,3,3,6-8,20-15,,,,,,,,,,,,
101,1230432,1,3,2,8,15,,,,,,,,,,,,
102,1230429,1,3,4,,,,,3,3,Garz ,,,,,,,
103,1230429,1,1,1,12,25,,nb,,,,,,,,,,
104,1230429,1,1,1,,,,nb,,,,,,,,,,
105,1230429,25,3,1,,,,,,,,,,,,,,
106,1230428,1,3,1,8,30,,,,,,,,,,,,
107,1230428,25,3,1,,,,,,,,,,,,,,
108,1230427,1,3,1,"7,1",65,,,,,,,,,,,,
109,1230427,3,3,10,,,,,,,,,,,,,,
110,1230425,3,3,1,,,,,,,,,,,,,,
111,1230421,1,3,1,10,45,,,,,,,,,,,,
112,1230421,1,3,1,8,20,,,,,,,,,,,,
113,1230421,8,3,10,,,,,,,,,,,,,,
114,1230420,1,3,1,9,20,,,,3,,,,,,,,
115,1230420,1,3,1,8,50,,,,,,,,,,,,
116,1230420,1,3,1,9,35,,,,,,,,,,,,
117,1230420,6,3,1,,,,,,,,,,,,,,
118,1230418,1,1,10,,,,nb,,,,Mittelteil,,,,,,
119,1230418,17,3,1,,,,,,,,,,,,,,
120,1230415,2,3,1,,,,,,,,,,überfeuert,,,,
121,1230411,1,1,10,,,Kreuz,,,,,Mittelteil,,,,,,
122,1230411,13,3,1,,,,,,,,,,,,,,
123,1230411,1,3,1,9,36,,,,,,,,,,,,
124,1230411,1,3,4,,,,,,,,,,,,,,
125,1230409,6,3,1,,,,,,,,,,,,,,
126,1230409,1,3,1,8,30,,,,,,,,,,,,
127,1230409,1,3,4,,,,,,,,,,,,,,
128,1230408,1,3,1,,,,,,,,,,,,,,
129,1230406,7,3,1,,,,,,,,,,,,,,
130,1230406,1,3,1,10,45,,,,,,,,,,,,
131,1230406,1,3,1,8,25,,,,,,,,,,,,
132,1230405,2,3,1,,,,,,,,,,,,,,
133,1230402,1,3,10,,,,,,,,Mittelteil,,,,,,
134,1230402,5,3,1,,90,,,,,,,,,,,,
135,1230402,45,3,1,,,,,,,,,,,,,,
136,1230402,,3,10,,,,,,,,,,,,,,
137,1230402,1,1,1,,,,großer Kreis,,,,,,,,,,
138,1230402,1,1,10,,,,nb,,,,,,,,,,
139,1230400,3,3,1,,,,,,,,,,,,,,
140,1230400,1,3,6,,,,,,,,,,,,,,
141,1230398,1,3,1,9,30,,,,,,,,,,,,
142,1230398,1,3,1,8,50,,,,,,,,,,,,
143,1230398,45,3,1,,,,,,,,,,,,,,
144,1230396,1,1,7,,,,nb,,,,,,,,,,
145,1230396,1,3,10,,,,,,,,,,überfeuert,,,,
146,1230396,1,3,10,,,,,,,,,,Tuch- oder Holzabdruck,,,,
147,1230396,15,3,1,,,,,,,,,,,,,,
148,1230395,1,3,1,10,30,,,,,,,,überfeuert,,,,
149,1230395,1,3,1,9,20,,,,,,,,,,,,
150,1230395,22,3,1,,,,,,,,,,,,,,
151,1230394,18,3,1,,,,,,,,,,,,,,
152,1230394,1,3,1,9,23,,,,,,,,,,,,
153,1230394,1,3,3,8,25,,,,,,,,,,,,
154,1230394,1,2,10,9,25,,,,,,,,,,,,
155,1230393,1,3,1,,,,,,,,,,,,,,
156,1230393,22,3,1,,,,,,,,,,,,,,
157,1230392,20,3,2,,,,,,,,,,,,,,
158,1230390,9,3,1,,,,,,,,,,,,,,
159,1230387,4,3,10,,,,,,,,,,,,,,
160,1230386,1,3,1,,,,,,,,,,,,,,
161,1230386,1,3,8,9,25,,,,,,,,,,,,
162,1230385,1,3,9,,,,,,,,,,,,,,
163,1230383,1,3,1,12,20,,,,,,,,,,,,
164,1230383,2,3,1,,,,,,,,,,,,,,
165,1230383,4,3,9,,,,,,,,,,,,,,
166,1230380,1,3,3,9,100,,,,,,,,Holzmaserung,,,,
167,1230380,1,3,1,8,20,,,,,,,,,,,,
168,1230380,2,3,1,,,,,,,,,,,,,,
169,1230367,13,3,1,,,,,,,,,,,,,,
170,1230353,1,3,1,,,,,,,,,,,,,,
171,1230353,1,3,4,,,,,,,,,,,,,,
172,1230351,1,3,1,12,20,,,,,,,,,,,,
173,1230351,1,3,5,10,20,,,,,,,,,,,,
174,1230351,1,3,5,,,,,,,,,,,,,,
175,1230351,29,3,9,,,,,,,,,,,,,,
176,1230348,1,3,4,9,20,,,,3,,,,,,,,
177,1230348,8,3,7,,,,,,,,,,,,,,
178,1230346,21,3,1,,,,,,,,,,,,,,
179,1230343,1,3,3,,,,,,,,,,,,,,
180,1230340,3,3,1,,,,,4,,,Mittelteil,,,,,,
181,1230340,1,3,1,10,20,,,,,,,,,,,,
182,1230340,1,3,1,10,15,,,,,,,,,,,,
183,1230340,1,3,1,9,20,,,,,,,,,,,,
184,1230340,13,3,2,,,,,,,,,,,,,,
185,1230340,1,3,3,8,20,,,,,,,,,,,,
186,1230340,1,3,3,10,15,,,,,,,,,,,,
187,1230335,1,3,1,,,,,,,,,,,,,,
188,1230335,1,3,1,,,,,,,,,,,,,,
189,1230334,1,3,3,,,,,,,,,,,,,,
190,1230333,3,3,9,,,,,,,,Mittelteil,,,,,,
191,1230333,3,3,1,,,,,,,,,,,,,,
192,1230333,5,3,3,,,,,,,,,,,,,,
193,1230333,1,1,1,9,40,,mit Kreis,,,,,,,,,,
194,1230330,1,3,3,10,11,,,,,,,,,,,,
195,1230327,2,3,1,,,,,,,,Mittelteil,,,,,,
196,1230327,2,3,1,,,,,,,,,,,,,,
197,1230327,9,3,3,,,,,,,,,,,,,,
198,1230325,1,3,1,10,30,,,,,,,,,,,,
199,1230325,3,3,2,,,,,,,,,,,,,,
200,1230324,3,3,1,8,40,,,,,,Mittelteil,,,,,,
201,1230324,1,3,1,10,15,,,,,,,,,,,,
202,1230324,1,3,1,8,15,,,,,,,,,,,,
203,1230324,3,3,1,,,,,,,,,,,,,,
204,1230324,1,3,3,,,,,,,,,,,,,,
205,1230323,1,3,1,,,,,,,,,,Holzabdruck?,,,,
206,1230320,10,3,1,,,,,,,,,,,,,,
207,1230320,1,3,3,,,,,,,,,,,,,,
208,1230319,1,2,1,,,,,,,,,,,,,,
209,1230319,2,3,7,,,,,,,,,,,,,,
210,1230318,1,3,1,18,25,,,,,,Standfläche,,,,,,
211,1230318,3,3,1,,,,,,,,,,,,,,
212,1230317,1,3,1,,,,,,,,Mittelteil,,,,,,
213,1230317,1,3,1,,,,,,,,Mittelteil,,,,,,
214,1230317,2,3,7,,,,,,,,,,,,,,
215,1230317,1,3,1,,,,,,,,,,,,,,
216,1230317,1,3,4,,,,,,,,,,,,,,
217,1230316,2,3,1,,,,,,,,,,,,,,
218,1230302,2,3,3,,,,,,,,,,,,,,
219,1230296,1,3,4,,,,,,,,,,,,,,
220,1230295,1,3,1,,,,,,,,,,,,,,
221,1230289,1,3,4,10,18,,,3,,Garz,,,,,,,
222,1230289,2,3,10,,,,,,,,Mittelteil,,,,,,
223,1230289,6,3,1,,,,,,,,,,,,,,
224,1230289,18,3,3,,,,,,,,,,,,,,
225,1230288,2,3,1,,,,,,,,,,,,,,
226,1230284,1,3,1,12,20,,,,,,,,,,,,
227,1230284,7,3,3,,,,,,,,,,,,,,
228,1230284,1,3,3,8,20,,,,,,,,,,,,
229,1230282,1,1,10,,,,,,,,Mittelteil,,,,,,
230,1230282,18,3,10,,,,,,,,,,,,,,
231,1230282,10,3,10,,,,,,,,,,,,,,
232,1230252,5,3,10,,,,,,,,,,,,,,
233,1230250,4,3,1,,,,,,,,,,,,,,
234,1230234,1,3,10,,,,,,,,Mittelteil,,,,,,
235,1230234,4,3,10,,,,,,,,,,,,,,
236,1230207,1,3,1,,,,,,,,,,,,,,
237,1230206,1,3,9,,,,,,,,Mittelteil,,,,,,
238,1230204,1,3,9,,,,,,,,,,,,,,
239,1230200,1,3,4,,,,,,,Garz,,,,,,,
240,1230200,1,3,1,,,,,,,,,,,,,,
241,1230200,1,3,4,,,,,,,,,,,,,,
242,1230197,1,3,1,10,15,,,,,,,4,,,,,
243,1230197,2,3,1,,,,,,,,,,,,,,
244,1230197,1,3,5,,,,,,,,,,,,,,
245,1230197,1,3,5,9,25,,,,,,,,,,,,
246,1230174,1,3,1,9,15,,,,,,,6,,,,,
247,1230174,1,3,10,,,,,,4,,Mittelteil,,,,,,
248,1230174,1,3,1,8,25,,,,,,,,,,,,
249,1230174,26,3,10,,,,,,,,,,,,,,
250,1230050,10,3,1,,,,,,,,,,,,,,
251,1230050,1,3,1,9,18,,,,,,,,,,,,
252,1230050,1,3,3,10,20,,,,,,,,,,,,
253,1230050,1,3,4,11,10,,,,,,,,,,,,
254,123041,1,3,1,8,5,,,,,,,,Textilabdruck,,,,
255,123041,1,3,7,8,20,,,,,,,,,,,,
256,123041,1,3,1,9,30,,,,,,,,,,,,
257,123041,9,3,10,,,,,,,,,,,,,,
258,123033,1,3,9,,,,,,,,Mittelteil,,,,,,
259,123033,2,3,1,8,50,,,,,,,,,,,,
260,123033,13,3,3,,,,,,,,,,,,,,
261,123033,11,3,9,,,,,,,,,,,,,,
